你好,你好,你好
你是做什么的,COMMON_BOT作用,你是做什么的
你是谁,COMMON_BOT作用,你是做什么的
我想看辆车,看车,我想看辆车
我要看辆车,看车,我要看辆车
我要买辆车,看车,我要买辆车
我想买辆车,看车,我想买辆车
我要买车,看车,我要买车
我要看车,看车,我要看车
汉兰达的车有没有,SEARCH, <modeldesc> 的车有没有
有没有汉兰达的车,SEARCH,有没有 <modeldesc> 的车
给我看辆长安CS15的车,SEARCH,给我看辆 <modeldesc> 的车
我想了解下长安CS15的车,SEARCH,我想了解下 <modeldesc> 的车
我想看下长安CS15的车,SEARCH,我想看下 <modeldesc> 的车
我想看手动舒适版的,SEARCH,我想看 <modeldesc> 的
给我看辆丰田或者本田的车,SEARCH,给我看辆 <factory> <terminology>  <or>  <factory> <terminology> 的车
有没有本田或丰田的车,SEARCH,有没有 <factory> <terminology>  <or>  <factory> <terminology> 的车
给我看看精英版或者时尚版的车,SEARCH,给我看看 <modeldesc>  <or>  <modeldesc> 的车
20万到30万的车有哪些推荐的,SEARCH, <factoryprice> 的车有哪些推荐的
我想看辆二三十万的车,SEARCH,我想看辆 <factoryprice> 的车
我想看辆20万左右的车,SEARCH,我想看辆 <factoryprice> 的车
15万左右的,SEARCH, <factoryprice> 的
二三十万的,SEARCH, <factoryprice> 的
推荐个家用suv,SEARCH,推荐个家用 <grade> 
推荐一辆小型SUV车,SEARCH,推荐一辆 <grade> 车
我要买一辆中型SUV,SEARCH,我要买一辆 <grade>
大众越野车推荐,SEARCH, <factory> 越野车推荐
最近有什么新款没有,SEARCH,最近有什么 <condition> 没有
你这有长安的车么,SEARCH,你这有 <factory> 的车么
我想看一辆长安的车,SEARCH,我想看一辆 <factory> 的车
我想看一辆5座的车,SEARCH,我想看一辆 <seatnum> 的车
我想看辆长安的车,SEARCH,我想看辆 <factory> 的车
我想看辆丰田的车,SEARCH,我想看辆 <factory> <terminology> 的车
你这有没有长安CS15的车,SEARCH,你这有没有 <modeldesc> 的车
有没有什么新款的车,SEARCH,有没有什么 <condition> 的车
有什么新车没有,SEARCH,有什么 <condition> 没有
给我看一辆长安CS15的车,SEARCH,给我看一辆 <modeldesc> 的车
我想看长安CS15的车,SEARCH,我想看 <modeldesc> 的车
我要汉兰达,SEARCH,我要 <modeldesc>
我要宝马,SEARCH,我要 <factory>
长安CS15的呢,SEARCH, <modeldesc> 的呢
你这有CS15的车么,SEARCH,你这有 <modeldesc> 的车么
给我看辆SUV的车,SEARCH,给我看辆 <grade> 的车
你知道北京现代么,SEARCH,你知道 <factory> 么
途观来一个,SEARCH, <modeldesc> 来 <seatnum>
最新的mpv有哪些,SEARCH, <condition> 的 <grade> <modeldesc> 有哪些
这辆车多少钱,QUERY,这辆车 <factoryprice> 
多少钱,QUERY, <factoryprice>
价格,QUERY, <factoryprice> 
型号,QUERY, <modeldesc> 
厂商,QUERY, <factory> 
价格是多少,QUERY, <factoryprice> 是多少
多少钱,QUERY, <factoryprice> 
多钱,QUERY, <factoryprice> 
都有什么颜色,QUERY,都有什么颜色
都有什么类型的,QUERY,都有什么 <grade> 的
都有哪些厂商,QUERY,都有哪些 <factory> 
都有什么型号的,QUERY,都有什么 <modeldesc> 的
什么型号,QUERY,什么 <modeldesc> 
都有什么,QUERY,都有什么
排量多少,QUERY, <columns> 多少
手动档还是自动档,QUERY, <transmisson> 还是 <transmisson> 
最高车速是多少,QUERY, <columns> 是多少
最大车速是多少,QUERY, <columns> 是多少
什么类型的,QUERY,什么 <grade> 的
多少个座位,QUERY,多少个 <seatnum>
几个座位,QUERY,几个 <seatnum> 
支持自动停车功能么,QUERY,支持 <columns> 功能么
有没有儿童安全座椅接口,QUERY,有没有 <columns> 接口
有没有智能操作系统,QUERY,有没有 <modeldesc> 操作系统
空调的排风口在哪里,QUERY, <modeldesc> 的排风口在哪里
有没有后排空调的排风口,QUERY,有没有后排 <modeldesc> 的排风口
座椅的材质是什么,QUERY,座椅的材质是什么
有没有侧边雷达,QUERY,有没有侧边雷达
油耗是多少,QUERY, <rfuelconsumption> 是多少
这辆车的油耗是多少,QUERY,这辆车的 <rfuelconsumption> 是多少
质保时间有多长,QUERY,质保时间有多长
发动机介绍下,QUERY, <columns> <terminology> 介绍下
多媒体介绍下,QUERY,多媒体介绍下
具体有哪些型号的,QUERY,具体有哪些 <modeldesc> 的
有哪些版本的,QUERY,有哪些 <modeldesc> 的
发动机的排量是多少,QUERY, <displacementL> 是多少
问下长安CS15的车现在怎么卖,QUERY,问下 <modeldesc> 的车现在 <factoryprice>
长安CS15的价格是多少,QUERY, <modeldesc> 的 <factoryprice> 是多少
